"X","Y","Name","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
3.31355196105443,39.7468790859762,"Station_007",47.19,40.46,55.81,33.11,43.04,31.41,44.9,29.88,40.53,40.6,59.86,34.6,501.4
3.23792764445142,39.5312184841768,"Station_015",68.71,63.72,109.74,57.53,66.18,55.9,91.88,48.43,60.73,61.64,77.71,52.65,814.82
2.90396298241992,39.57341797442,"Station_031",45.9,43.29,80.12,40.49,44.84,42.35,61.23,38.96,39.43,45.67,69.69,38.03,590
2.93640511906059,39.4554686413261,"Station_034",60.58,59.14,97.96,54.35,61.6,50.74,69.56,61.63,64.84,62.66,95.06,60.06,798.2
3.3302593283411,39.6259792314583,"Station_036",52.99,48.63,76.75,52.46,63.88,50.36,82.51,45.7,47.23,54.61,69.88,48.94,693.95
3.16146897222576,39.499686973394,"Station_038",54.23,42.58,63.21,39.62,52.73,44.5,66.32,42.41,36.73,48.93,65.75,44.56,601.57
2.55084426960057,39.5306089295752,"Station_039",60.51,48.92,84.03,49.22,63,48.4,57.95,45.26,50.91,48.43,86.07,48.48,691.19
3.04342424541362,39.6545141228428,"Station_042",53.97,48.25,84.16,53.42,54,50.68,50.02,39.2,46.4,51.73,96.21,42.04,670.07
3.2417616449022,39.6750065804338,"Station_047",65.44,60.89,101.13,50.67,66.26,58.13,79.11,58.67,49.06,51.63,82.13,53.67,776.8
3.01924265374358,39.6557826972428,"Station_051",76.55,58.2,98.18,50.67,69.52,60.01,93.85,52.88,57.85,54.57,69.88,52.11,794.28
3.09532492659828,39.5994781302074,"Station_055",51.64,41.46,69.07,47.57,44.96,45.53,64.68,49.08,43.54,48.38,75.71,42.77,624.39
2.94274447081239,39.8340664171571,"Station_058",63.54,62.46,79.55,62.03,62.59,56.1,83.03,51.38,48.45,55.51,73.99,58.16,756.82
2.99123314407593,39.7512841575374,"Station_069",52.39,40.09,68.69,43.96,41.32,44.41,62.21,34.8,35.25,42.48,53.97,37.09,556.65
2.53426431976188,39.4986506480104,"Station_075",57.17,55.26,92.6,51.1,58.67,50.69,61.66,46.36,51.29,61.32,79.59,45.99,711.69
3.15684071843106,39.6573591812576,"Station_081",56,39.06,73.36,43.14,52.1,53.91,73.24,49.34,42.82,53.02,59.88,40.27,636.16
3.00152749073671,39.3627649465036,"Station_088",54.2,55.52,97.07,57.75,67.19,45.6,80.46,51.5,46.25,48.65,51.69,58.49,714.37
2.46166980648759,39.5290747316481,"Station_095",68.81,46.65,71.37,47.61,57.26,47.52,84.3,50.7,42.16,49.59,56.59,37.03,659.59
2.5881748990405,39.6703137419215,"Station_097",46.31,42.33,66.28,45.59,55.99,45.75,53.88,45.92,45.41,46.13,78.36,39.18,611.12
3.2852702671329,39.6022077861407,"Station_098",47.06,50.7,72.55,43.07,39.02,35.58,50.16,35.06,38.23,45.35,55.02,33.72,545.52
3.13287992709666,39.5185612192661,"Station_100",65.65,67.92,95.55,62.34,65.31,70.09,86.07,62.58,60.81,68.98,91.03,65.36,861.68
