Date,S007,S015,S031,S034,S036,S038,S039,S042,S047,S051,S055,S058,S069,S075,S081,S088,S095,S097,S098,S100
1965-01-01,28.3,17.9,27.1,100.8,51.5,21.2,54.4,3.7,300.3,17.1,29.1,55.9,116,12.8,71.9,28.8,112.1,14.3,38.7,132.6
1965-02-01,51.8,41.2,36.3,56,1.7,28.7,85.8,3.6,46.6,50.2,28.3,27.4,31,57.8,41.6,43,76.4,0,35.7,158.8
1965-03-01,39.7,39.5,25.5,38.4,36.1,21.3,35.7,32.3,35.8,39.8,29.9,41.4,27.8,24.4,34.4,31.5,24.6,31.5,29.5,48.3
1965-04-01,38.9,42.8,20.9,33.7,30.3,53.8,31.3,4.2,29.4,34.1,14.5,35.8,23.4,10.2,30.4,41.3,18.3,6.4,26.3,44.1
1965-05-01,93.2,175.7,140.2,298.7,140.3,123,257.5,145.7,174.8,167,136.5,12.4,89.1,169.3,123.7,43,221.7,127.2,106,161.4
1965-06-01,29,28.2,16.4,28.1,13.3,36.8,27.5,22.6,23.2,29,20.9,31.9,19.9,3.9,26.6,21.6,13,23.8,22.8,39.2
1965-07-01,43.8,78.8,59.6,79.8,34.9,60.2,64.7,66.9,79.5,78.3,62.9,71.8,54.4,68.3,62.2,73.7,64,15.8,53.9,175.1
1965-08-01,85.6,157.2,115.4,146.3,128.5,108.9,112.8,125.2,156.4,16.4,118.6,27.9,75.1,129.1,310.5,140.8,130.2,100.1,96.6,143.3
1965-09-01,39.1,62.3,46.4,50.6,53.3,46.6,90.5,52.4,59.3,62.5,42,60.7,44,58.6,49.8,33.3,54.8,50.4,42.2,67.6
1965-10-01,73,130.6,95.8,122.3,107.8,91.3,96.8,105,129.7,20.5,98.9,107.3,77.4,108.7,74.6,116.1,108.6,86.2,167.9,121.9
1965-11-01,71.4,110.5,86.5,86.2,90.7,85.5,201.3,17.1,109.2,107.5,38.2,98.1,75.9,86.3,81.6,81.3,162.5,83.8,69.6,107.4
1965-12-01,67.3,118.2,88.4,112.5,97.9,83.3,91.4,96.8,166.4,11.6,90.6,101.1,90.4,101.8,118.1,105.4,101.4,81.7,72.2,112.5
1966-01-01,121.9,252,17.1,60.7,80.6,132,165.3,4.2,183.5,341.9,58.7,72.5,23.9,15.7,30.8,233.6,388.4,74.8,34.4,58.3
1966-02-01,104.8,285.6,50.8,187.4,150.5,75.1,92.5,10.5,553.9,272.9,156.6,145,117.8,23.2,139.5,257.4,327.3,57.6,65.9,67.6
1966-03-01,121.4,392,92.8,173.3,292.1,106.2,66.9,17.2,696.9,411.3,112.5,120.6,78.2,63.6,178,366.7,603.3,117.5,31.7,98.3
1966-04-01,40.8,193.5,16.3,143.1,126.4,98.4,103.2,97.9,359,157.6,94.6,100,50.1,117.3,16.2,232,335.8,58.8,37.5,56.9
1966-05-01,113.8,402.6,72.5,300.8,299.8,309,152.1,9.9,670.5,361.8,186.5,111.7,23,142.9,6.4,290.9,467.1,48.1,111.8,118.2
1966-06-01,54.4,145.4,13.2,129.5,139.6,117.9,141.7,9.5,472.2,238.7,88.1,134.7,14.7,54.7,14,92.8,307.6,44.5,44.7,30.2
1966-07-01,153.5,811.4,134.5,243.4,606.6,247.7,229,36,818.9,492.1,284.3,485.2,74.1,218.7,39.1,540.9,1019.8,130.4,126,101.7
1966-08-01,67.5,145.6,62.4,129.4,104.3,104.8,91.6,6.3,334.4,210.7,122.7,54.4,44.7,41.4,17.5,242.4,258.8,83,60.5,135.1
